,강력범,기타형사범,절도범,지능범,특별법범,폭력범,풍속범,강수량,최고기온,최저기온,습도,풍향,풍속
2006.04,1046,"1,128",8731,"5,157.00",47543,21289,220,51.8,22.2,2.9,54.7133,250,3
2006.05,1609,"1,128",12566,"5,157.00",62167,27583,220,156.2,28.3,10.8,57.5838,270,2.5
2006.06,1920,"1,128",14893,"5,157.00",75680,33852,220,168.5,32.4,14.1,67.8167,230,2.2
2006.07,2231,"1,128",17139,"5,157.00",88083,40016,220,1014,30.1,17.5,81.7322,230,2.3
2006.08,2587,"1,128",19497,"5,157.00",102134,46343,220,121.2,34.7,20.8,69.0967,70,2.1
2006.09,2908,"1,128",22045,"5,157.00",116936,52850,220,11.1,30.3,11.3,58.1567,70,2.1
2006.1,3267,"1,128",24562,"5,157.00",131077,59279,220,30.2,27.5,7.9,62.1225,70,2
2006.11,3534,"1,128",27151,"5,157.00",145676,65247,220,47.6,20.2,-1.3,57.53,270,2.4
2006.12,3798,"1,128",29261,"5,157.00",158435,70754,220,17.3,12.6,-12.3,58.3967,270,2.1
2007.01,291,1126,2608,5283,15328,6494,242,10.8,11.8,-7.6,56.2967,290,2
2007.02,252,880,2403,4270,10254,4613,158,12.6,14.8,-8.6,52.8428,250,2.3
2007.03,292,1119,2273,5110,15953,6242,196,123.5,16.2,-7.6,59.6064,250,2.7
2007.04,306,1311,2794,5492,16803,6813,250,41.1,22.5,1.6,53.033,230,2.8
2007.05,298,1412,3469,5432,17589,7221,192,137.6,30.1,9,62.0897,290,2.6
2007.06,345,1448,3288,4829,16091,7126,210,54.5,33.2,14.1,60.7366,50,2.3
2007.07,342,1509,2841,5022,16533,7849,218,274.1,31.2,17.7,74.8774,360,2.4
2007.08,315,1451,2443,4935,18373,7223,229,237.6,33.2,19.8,74.8161,230,2.6
2007.09,312,1278,2775,4090,15556,6589,214,241.9,31.1,14.1,73.6886,50,2.5
2007.1,370,1533,2955,5440,19830,7504,282,39.5,26.2,3.2,62.8193,270,2.1
2007.11,22,44,91,256,744,263,8,26.4,19.3,-5.5,54.8266,290,2.2
2007.12,238,1163,2037,4392,14117,6083,160,12.7,13.8,-7.4,60.2967,250,2.4
2008.01,219,1129,1871,4623,14345,5534,189,17.7,7.3,-11.1,49.8741,70,2.3
2008.02,220,1005,1733,4077,12301,4533,186,15,10.5,-10.1,45.7665,340,2.7
2008.03,347,1145,2373,4976,16154,5691,193,53.9,19.8,-1.7,56.1645,250,2.6
2008.04,322,1322,2513,5437,17824,6080,324,38.5,28,3.8,50.3133,230,2.7
2008.05,326,1302,2406,5456,18549,6427,290,97.7,28.5,8.1,58.129,230,2.7
2008.06,380,1415,2893,5306,16878,6958,271,165,29.6,13.7,65.1966,250,2.7
2008.07,348,1425,2577,5498,17659,6791,283,530.8,32.9,20.2,78.3451,230,2.4
2008.08,329,1157,2317,4409,16258,6024,173,251.2,35.4,16.3,69.3903,230,2.5
2008.09,354,1421,2701,5616,19411,6980,312,99.2,32,10.3,63.9,270,1.9
2008.1,336,1496,2622,5965,20035,6907,268,41.8,28.3,5.6,61.6997,320,2
